window,entry_z,exit_z,stop_z,stake,long_only,delta,R,final_value,total_return,sharpe_ratio,max_dd_pct,max_dd_abs,total_trades,n_days
60,2.5,0.5,3.5,25,False,1e-05,0.001,100497.07727462762,0.00497077274627622,0.03306847608853586,0.223871981256901,225.48960604857712,34,1255
60,2.5,0.5,4.0,25,False,1e-05,0.001,100497.07727462762,0.00497077274627622,0.03306847608853586,0.223871981256901,225.48960604857712,34,1255
60,2.5,0.5,3.5,75,False,1e-05,0.001,101464.76452682492,0.014647645268249132,0.03291970415935229,0.6541144905178392,668.0656417083519,34,1255
60,2.5,0.5,4.0,75,False,1e-05,0.001,101464.76452682492,0.014647645268249132,0.03291970415935229,0.6541144905178392,668.0656417083519,34,1255
60,2.5,0.5,3.5,50,False,1e-05,0.001,100973.830140045,0.009738301400449956,0.032688660796511164,0.4454758549862842,451.8268124847382,34,1255
60,2.5,0.5,4.0,50,False,1e-05,0.001,100973.830140045,0.009738301400449956,0.032688660796511164,0.4454758549862842,451.8268124847382,34,1255
45,2.5,0.5,3.5,75,False,1e-05,0.001,100203.15146650704,0.002031514665070455,0.0042492572733443725,1.0435188820581247,1048.8682898712286,36,1255
45,2.5,0.5,4.0,75,False,1e-05,0.001,100203.15146650704,0.002031514665070455,0.0042492572733443725,1.0435188820581247,1048.8682898712286,36,1255
45,2.5,0.5,3.5,25,False,1e-05,0.001,100070.29452525327,0.0007029452525326718,0.004200669557153193,0.35729427500801436,357.941038604753,36,1255
45,2.5,0.5,4.0,25,False,1e-05,0.001,100070.29452525327,0.0007029452525326718,0.004200669557153193,0.35729427500801436,357.941038604753,36,1255
45,2.5,0.5,3.5,50,False,1e-05,0.001,100130.59715478518,0.0013059715478518363,0.004022043564740264,0.6997164766425407,702.1772792816191,36,1255
45,2.5,0.5,4.0,50,False,1e-05,0.001,100130.59715478518,0.0013059715478518363,0.004022043564740264,0.6997164766425407,702.1772792816191,36,1255
90,2.0,0.5,4.0,75,False,1e-05,0.001,100130.850757431,0.0013085075743100028,0.0015278749675858502,2.221759462573375,2275.2164893035806,88,1255
90,2.0,0.5,4.0,25,False,1e-05,0.001,100059.11595948806,0.0005911595948806525,0.0015269464775863957,0.7648010245374568,771.1509140929993,88,1255
90,2.0,0.5,4.0,50,False,1e-05,0.001,100099.76849679578,0.0009976849679578237,0.0015004052633349008,1.4917287010198927,1515.8290330658056,88,1255
60,2.0,0.5,4.0,25,False,1e-05,0.001,100012.87830078129,0.00012878300781293817,0.00046614422908267935,1.157959304854031,1171.6759611511225,102,1255
60,2.0,0.5,4.0,50,False,1e-05,0.001,99995.05528813158,-4.944711868415386e-05,0.00029226041940501524,2.2645247990103723,2316.8791271820082,102,1255
60,2.0,0.5,4.0,75,False,1e-05,0.001,99949.3052802888,-0.0005069471971119732,0.00013031238762144487,3.359760101740599,3474.801888229311,102,1255
90,2.0,0.5,3.5,25,False,1e-05,0.001,99968.23383909611,-0.0003176616090388995,-0.0005568260509582559,0.7654909904227768,771.1509140929993,88,1255
90,2.0,0.5,3.5,75,False,1e-05,0.001,99858.20439625547,-0.0014179560374452116,-0.000600413225849312,2.2276904754350397,2275.2164893035806,88,1255
90,2.0,0.5,3.5,50,False,1e-05,0.001,99918.00425601217,-0.0008199574398783938,-0.00061493827753648,1.494401802548289,1515.8290330658056,88,1255
45,2.0,0.5,3.5,25,False,1e-05,0.001,99927.12223889178,-0.0007287776110821431,-0.0014974548628714556,0.94516892020628,953.4922143249278,106,1255
45,2.0,0.5,4.0,25,False,1e-05,0.001,99927.12223889178,-0.0007287776110821431,-0.0014974548628714556,0.94516892020628,953.4922143249278,106,1255
60,2.0,0.5,3.5,25,False,1e-05,0.001,99921.99618038954,-0.0007800381961046154,-0.001578426572145344,1.1590002977739962,1171.6759611511225,102,1255
